 Acceler X, Acceler Y, Acceler Z, Gyro X, Gyro Y, Gyro Z
-0.026855469,0.93066406,0.20336914,-0.025634766,0.8930664,0.23901367
-0.057128906,1.0478516,0.21118164,-0.026855469,0.93066406,0.20336914
-0.064453125,1.0673828,0.21777344,-0.026855469,0.93066406,0.20336914
-0.06274414,1.0305176,0.22705078,-0.064453125,1.0673828,0.21777344
-0.084228516,0.99560547,0.20385742,-0.06274414,1.0305176,0.22705078
-0.08886719,0.9748535,0.19384766,-0.06274414,1.0305176,0.22705078
-0.09057617,0.9748535,0.17749023,-0.08886719,0.9748535,0.19384766
-0.09106445,1.0056152,0.16674805,-0.09057617,0.9748535,0.17749023
-0.09277344,1.0168457,0.1640625,-0.09057617,0.9748535,0.17749023
-0.09814453,1.0236816,0.16845703,-0.09277344,1.0168457,0.1640625
-0.10571289,1.0192871,0.1628418,-0.09814453,1.0236816,0.16845703
-0.10522461,1.0185547,0.16333008,-0.10571289,1.0192871,0.1628418
-0.095947266,1.005127,0.14794922,-0.10522461,1.0185547,0.16333008
-0.08886719,1.019043,0.1394043,-0.095947266,1.005127,0.14794922
-0.09082031,1.0407715,0.13989258,-0.08886719,1.019043,0.1394043
-0.10229492,1.0600586,0.13378906,-0.09082031,1.0407715,0.13989258
-0.115722656,1.034668,0.14135742,-0.10229492,1.0600586,0.13378906
-0.11987305,1.0178223,0.14575195,-0.115722656,1.034668,0.14135742
-0.11743164,0.95947266,0.13085938,-0.11987305,1.0178223,0.14575195
-0.10986328,0.99194336,0.13842773,-0.11743164,0.95947266,0.13085938
-0.11401367,1.001709,0.13696289,-0.10986328,0.99194336,0.13842773
-0.12451172,1.0185547,0.13452148,-0.11401367,1.001709,0.13696289
-0.14086914,1.0222168,0.09643555,-0.12451172,1.0185547,0.13452148
-0.1381836,1.0290527,0.072753906,-0.14086914,1.0222168,0.09643555
-0.12402344,1.0241699,0.07055664,-0.1381836,1.0290527,0.072753906
-0.14086914,1.0183105,0.06713867,-0.12402344,1.0241699,0.07055664
-0.14453125,1.0107422,0.0546875,-0.14086914,1.0183105,0.06713867
-0.1237793,0.9667969,0.025634766,-0.14453125,1.0107422,0.0546875
-0.103027344,1.0246582,-0.002197266,-0.1237793,0.9667969,0.025634766
-0.09765625,1.046875,-0.015625,-0.103027344,1.0246582,-0.002197266
-0.09423828,1.0268555,-0.046875,-0.09765625,1.046875,-0.015625
-0.11206055,1.0031738,-0.053955078,-0.09423828,1.0268555,-0.046875
-0.1184082,0.9975586,-0.045410156,-0.11206055,1.0031738,-0.053955078
-0.13110352,1.0056152,-0.03515625,-0.1184082,0.9975586,-0.045410156
-0.1418457,1.0009766,-0.06665039,-0.13110352,1.0056152,-0.03515625
-0.14526367,0.9992676,-0.09887695,-0.1418457,1.0009766,-0.06665039
-0.13745117,1.0112305,-0.17480469,-0.14526367,0.9992676,-0.09887695
-0.14770508,1.0410156,-0.20483398,-0.13745117,1.0112305,-0.17480469
-0.15673828,1.0356445,-0.2055664,-0.14770508,1.0410156,-0.20483398
-0.17260742,0.99365234,-0.20458984,-0.15673828,1.0356445,-0.2055664
-0.18823242,0.96606445,-0.21655273,-0.17260742,0.99365234,-0.20458984
-0.19189453,0.95214844,-0.2253418,-0.18823242,0.96606445,-0.21655273
-0.19042969,0.94750977,-0.24169922,-0.19189453,0.95214844,-0.2253418
-0.1809082,0.9655762,-0.2685547,-0.19042969,0.94750977,-0.24169922
-0.171875,0.96069336,-0.28857422,-0.19042969,0.94750977,-0.24169922
-0.16870117,0.9519043,-0.31079102,-0.171875,0.96069336,-0.28857422
-0.19482422,0.9350586,-0.31518555,-0.16870117,0.9519043,-0.31079102
-0.20361328,0.9289551,-0.30029297,-0.16870117,0.9519043,-0.31079102
-0.21264648,0.87939453,-0.30297852,-0.20361328,0.9289551,-0.30029297
-0.22558594,0.88183594,-0.34277344,-0.21264648,0.87939453,-0.30297852
-0.2290039,0.8881836,-0.36621094,-0.21264648,0.87939453,-0.30297852
-0.22949219,0.88964844,-0.40600586,-0.2290039,0.8881836,-0.36621094
-0.24707031,0.91552734,-0.43066406,-0.22949219,0.88964844,-0.40600586
-0.25756836,0.9111328,-0.4345703,-0.22949219,0.88964844,-0.40600586
-0.28173828,0.89282227,-0.4267578,-0.25756836,0.9111328,-0.4345703
-0.31274414,0.8520508,-0.48950195,-0.28173828,0.89282227,-0.4267578
-0.3178711,0.8405762,-0.52368164,-0.28173828,0.89282227,-0.4267578
-0.30517578,0.8227539,-0.5559082,-0.3178711,0.8405762,-0.52368164
-0.31396484,0.87524414,-0.53222656,-0.30517578,0.8227539,-0.5559082
-0.33203125,0.87231445,-0.52075195,-0.30517578,0.8227539,-0.5559082
-0.36645508,0.81933594,-0.5151367,-0.33203125,0.87231445,-0.52075195
-0.36743164,0.78930664,-0.55322266,-0.36645508,0.81933594,-0.5151367
-0.35717773,0.77978516,-0.5769043,-0.36645508,0.81933594,-0.5151367
-0.34228516,0.74316406,-0.6035156,-0.35717773,0.77978516,-0.5769043
-0.34326172,0.71777344,-0.5974121,-0.34228516,0.74316406,-0.6035156
-0.3515625,0.7192383,-0.58813477,-0.34326172,0.71777344,-0.5974121
-0.36743164,0.71191406,-0.5632324,-0.3515625,0.7192383,-0.58813477
-0.3815918,0.638916,-0.6010742,-0.36743164,0.71191406,-0.5632324
